Hurricane Gilbert, packing 110 mph winds and torrential rain, moved over this capital city today after skirting Puerto Rico, Haiti and the Dominican Republic.
sent_00 | -       |    There were no immediate reports of casualties. 
sent_01 | -       |    Telephone communications were affected.
sent_02 | -       |    ``Right now it's actually moving over Jamaica,'' said Bob Sheets, director of the National Hurric...
sent_03 | 0.47946 |    ``We've already had reports of 110 mph winds on the eastern tip.
sent_04 | 0.20459 |    ``It looks like the eye is going to move lengthwise across that island, and they're going to bear...
sent_05 | 0.34373 |    Forecasters say Gilbert was expected to lash Jamaica throughout the day and was on track to later...
sent_06 | 0.20526 |    Meanwhile, Havana Radio reported today that 25,000 people were evacuated from Guantanamo Province...
sent_07 | 0.20954 |    All Jamaica-bound flights were canceled at Miami International Airport, while flights from Grand ...
sent_08 | 0.20474 |    ``People were running around in the main lobby of our hotel (on Grand Cayman) like chickens with ...
sent_09 | 0.20139 |    Hurricane warnings were posted for the Cayman Islands, Cuba and Haiti. 
sent_10 | -       |    Warnings were discontinued for the Dominican Republic.
sent_11 | -       |    ``All interests in the Western Caribbean should continue to monitor the progress of this dangerou...
sent_12 | 0.2057  |    The Associated Press' Caribbean headquarters in San Juan, Puerto Rico, was unable to get phone ca...
sent_13 | 0.21252 |    Most Jamaicans stayed home, boarding up windows in preparation for the hurricane. 
sent_14 | 0.43513 |    Some companies broadcast appeals for technicians and electricians to report to work.
sent_15 | 0.20118 |    The weather bureau predicted Gilbert's center, 140 miles southeast of Kingston before dawn, would...
sent_16 | 0.20076 |    Flash flood warnings were issued for the parishes of Portland on the northeast and St. Mary on th...
sent_17 | 0.20364 |    The north coast tourist region from Montego Bay on the west and Ocho Rios on the east, far from t...
sent_18 | 0.20139 |    Officials urged residents in the higher risk areas along the south coast to seek higher ground.
sent_19 | 0.21321 |    ``It's certainly one of the larger systems we've seen in the Caribbean for a long time,'' said Ha...
sent_20 | 0.20747 |    Forecasters at the center said the eye of Gilbert was 140 miles southeast of Kingston at dawn tod...
sent_21 | 0.20583 |    Maximum sustained winds were near 110 mph, with tropical-storm force winds extending up to 250 mi...
sent_22 | 0.20609 |    Prime Minister Edward Seaga of Jamaica alerted all government agencies, saying Sunday night: ``Hu...
sent_23 | 0.20656 |    Forecasters said the hurricane had been gaining strength as it passed over the ocean after it dum...
sent_24 | 0.21252 |    ``We should know within about 72 hours whether it's going to be a major threat to the United Stat...
sent_25 | 0.45853 |    ``It's moving at about 17 mph to the west and normally hurricanes take a northward turn after the...
sent_26 | 0.20133 |    Cuba's official Prensa Latina news agency said a state of alert was declared at midday in the Cub...
sent_27 | 0.21871 |    In the report from Havana received in Mexico City, Prensa Latina said civil defense officials wer...
sent_28 | 0.20143 |    Heavy rain and stiff winds downed power lines and caused flooding in the Dominican Republic on Su...
sent_29 | 0.20583 |    The storm ripped the roofs off houses and flooded coastal areas of southwestern Puerto Rico after...
sent_30 | 0.55994 |    Flights were canceled Sunday in the Dominican Republic, where civil defense director Eugenio Cabr...
